user_id1	user_id2	doc_id	precision	recall	F1
emmanuelleko	israell	10324	0.0	0.0	0.0
emmanuelleko	rotem_ecker	10324	0.6256492137908936	0.649570643901825	0.6373855471611023
israell	rotem_ecker	10324	0.0	0.0	0.0
israell	rotem_ecker	1035883	0.0	0.0	0.0
emmanuelleko	rotem_ecker	1044646	0.6179959774017334	0.7292195558547974	0.6690165400505066
emmanuelleko	rotem_ecker	105185	0.0	0.0	0.0
rotem_ecker	leaya	105453	0.0	0.0	0.0
emmanuelleko	rotem_ecker	1056355	0.0	0.0	0.0
shaharadar	rotem_ecker	10602	0.5407367944717407	0.6096324324607849	0.5731216073036194
shira_wigi	rotem_ecker	10706	0.0	0.0	0.0
rotem_ecker	leaya	107104	0.0	0.0	0.0
kfir	leaya	107653	0.0	0.0	0.0
shaharadar	rotem_ecker	10796	0.0	0.0	0.0
emmanuelleko	rotem_ecker	108406	0.0	0.0	0.0
emmanuelleko	shira_wigi	109106	0.0	0.0	0.0
emmanuelleko	rotem_ecker	109106	0.6757341027259827	0.6514286994934082	0.6633588671684265
shira_wigi	rotem_ecker	109106	0.0	0.0	0.0
emmanuelleko	rotem_ecker	1100609	0.0	0.0	0.0
shira_wigi	rotem_ecker	1106556	0.0	0.0	0.0
emmanuelleko	gilgodinger	1112751	0.0	0.0	0.0
emmanuelleko	rotem_ecker	1112751	0.6014407277107239	0.5944792628288269	0.5979397296905518
gilgodinger	rotem_ecker	1112751	0.0	0.0	0.0
shaharadar	emmanuelleko	1122830	0.0	0.0	0.0
shaharadar	gilgodinger	11356	0.0	0.0	0.0
shaharadar	rotem_ecker	11356	0.691188395023346	0.729480504989624	0.709818422794342
gilgodinger	rotem_ecker	11356	0.0	0.0	0.0
shaharadar	shira_wigi	1169575	0.0	0.0	0.0
shaharadar	rotem_ecker	1169575	0.6432827711105347	0.7027090787887573	0.6716840863227844
shira_wigi	rotem_ecker	1169575	0.0	0.0	0.0
shaharadar	gilgodinger	1197311	0.0	0.0	0.0
shaharadar	rotem_ecker	1197311	0.6609804034233093	0.8126776218414307	0.7290211915969849
gilgodinger	rotem_ecker	1197311	0.0	0.0	0.0
shaharadar	emmanuelleko	1235497	0.0	0.0	0.0
shaharadar	kfir	1245018	0.0	0.0	0.0
